state,state_abbreviated,job_title,total_employment,job_concentration,median_salary,region
Alabama,AL,Chief Executives,830.0,0.29,164400.0,South
Alabama,AL,General and Operations Managers,32370.0,0.67,106330.0,South
Alabama,AL,Legislators,1120.0,3.1,26990.0,South
Alabama,AL,Advertising and Promotions Managers,50.0,0.16,133570.0,South
Alabama,AL,Marketing Managers,1660.0,0.32,112960.0,South
Alabama,AL,Sales Managers,4380.0,0.54,108740.0,South
Alabama,AL,Public Relations Managers,410.0,0.4,93040.0,South
Alabama,AL,Fundraising Managers,210.0,0.42,85600.0,South
Alabama,AL,Administrative Services Managers,660.0,0.19,97960.0,South
Alabama,AL,Facilities Managers,950.0,0.5,119330.0,South
Alabama,AL,Computer and Information Systems Managers,6480.0,0.74,133500.0,South
Alabama,AL,Financial Managers,6390.0,0.58,138040.0,South
Alabama,AL,Industrial Production Managers,3610.0,1.13,115470.0,South
Alabama,AL,Purchasing Managers,1400.0,1.27,127680.0,South
Alabama,AL,"Transportation, Storage, and Distribution Managers",1180.0,0.41,102540.0,South
Alabama,AL,Compensation and Benefits Managers,110.0,0.42,110450.0,South
Alabama,AL,Human Resources Managers,1990.0,0.68,110030.0,South
Alabama,AL,Training and Development Managers,110.0,0.18,113010.0,South
Alabama,AL,Construction Managers,7520.0,1.59,92620.0,South
Alabama,AL,"Education and Childcare Administrators, Preschool and Daycare",780.0,0.81,41150.0,South
Alabama,AL,"Education Administrators, Kindergarten through Secondary",,,96380.0,South
Alabama,AL,"Education Administrators, Postsecondary",3540.0,1.48,99290.0,South
Alabama,AL,"Education Administrators, All Other",,,82410.0,South
Alabama,AL,Architectural and Engineering Managers,3480.0,1.22,157520.0,South
Alabama,AL,Food Service Managers,5090.0,1.54,59920.0,South
Alabama,AL,"Entertainment and Recreation Managers, Except Gambling",50.0,0.1,69330.0,South
Alabama,AL,Lodging Managers,500.0,0.89,78430.0,South
Alabama,AL,Medical and Health Services Managers,9320.0,1.21,92950.0,South
Alabama,AL,Natural Sciences Managers,280.0,0.21,127210.0,South
Alabama,AL,Postmasters and Mail Superintendents,280.0,1.5,92120.0,South
